C:\Users\User\Desktop\Fax\Vještačka inteligencija\Projekat>train_model_v2.bat
ℹ Saving to output directory: BS-Model
ℹ Using GPU: 0

=========================== Initializing pipeline ===========================
✔ Initialized pipeline

============================= Training pipeline =============================
ℹ Pipeline: ['tagger', 'ner', 'morphologizer', 'parser', 'lemmatizer',
'senter', 'attribute_ruler']
ℹ Initial learn rate: 0.0
E    #       LOSS TAGGER  LOSS NER  LOSS MORPH...  LOSS PARSER  LOSS SENTER  TAG_ACC  POS_ACC  ENTS_F  ENTS_P  ENTS_R  MORPH_ACC  DEP_UAS  DEP_LAS  SENTS_P  SENTS_R  SENTS_F  LEMMA_ACC  SCORE 
---  ------  -----------  --------  -------------  -----------  -----------  -------  -------  ------  ------  ------  ---------  -------  -------  -------  -------  -------  ---------  ------
C:\Users\User\AppData\Roaming\Python\Python312\site-packages\spacy\pipeline\attributeruler.py:137: UserWarning: [W036] The component 'matcher' does not have any patterns defined.
  matches = self.matcher(doc, allow_missing=True, as_spans=False)
 10   15800     53948.81   8385.90       54392.92    124766.77       438.29    86.60    94.72   67.15   68.58   65.77      87.20    78.96    71.51    91.48    92.91    92.19      80.91    0.82
 11   16000     53574.19   8292.08       53982.36    123679.81       485.07    86.61    94.72   67.32   68.80   65.90      87.23    78.94    71.47    90.80    92.56    91.67      80.91    0.82
 11   16200     55621.10   8758.78       56212.23    127094.21       492.66    86.64    94.73   67.27   68.78   65.83      87.25    78.99    71.55    91.10    92.73    91.91      80.91    0.82
 11   16400     51681.31   8223.81       52251.38    120578.97       403.89    86.67    94.74   67.37   68.81   66.00      87.27    79.05    71.59    91.35    92.81    92.07      80.91    0.82
 11   16600     53694.45   8396.59       54076.86    124722.55       389.34    86.69    94.75   67.43   68.68   66.23      87.28    79.01    71.57    90.55    92.42    91.47      80.91    0.82
 11   16800     54065.03   8599.28       54442.16    123828.92       404.22    86.71    94.75   67.45   68.74   66.21      87.31    79.04    71.61    90.38    92.34    91.35      80.91    0.82
 11   17000     54675.97   8612.91       55115.03    125818.45       445.35    86.73    94.76   67.49   68.90   66.13      87.33    79.14    71.71    91.47    92.86    92.16      80.91    0.82
 11   17200     54498.06   8597.80       55374.55    126635.60       491.70    86.74    94.77   67.48   68.94   66.08      87.34    79.05    71.62    91.38    92.84    92.11      80.91    0.82
 12   17400     53295.49   8067.20       53885.72    123153.27       382.42    86.76    94.77   67.52   68.90   66.20      87.36    79.05    71.63    91.28    92.83    92.05      80.91    0.82
 12   17600     55349.76   8596.37       55920.19    127754.51       462.76    86.78    94.78   67.51   68.91   66.18      87.38    79.17    71.75    90.93    92.61    91.77      80.91    0.82
 12   17800     52813.91   8376.08       53360.22    123250.12       449.40    86.79    94.79   67.57   68.90   66.29      87.38    79.13    71.71    91.28    92.80    92.03      80.91    0.82
 12   18000     52841.62   8390.15       53389.00    123447.88       443.81    86.80    94.80   67.56   69.01   66.18      87.40    79.13    71.71    90.86    92.59    91.72      80.91    0.82
 12   18200     53746.62   8527.04       54483.81    124265.04       436.97    86.80    94.80   67.58   68.97   66.25      87.41    79.15    71.76    91.12    92.73    91.91      80.91    0.82
 12   18400     54665.94   8907.24       55331.08    127335.85       450.42    86.82    94.81   67.54   68.93   66.20      87.42    79.16    71.77    90.90    92.62    91.75      80.91    0.82
 12   18600     53982.98   8503.26       54623.45    123659.11       450.31    86.82    94.81   67.54   68.87   66.26      87.42    79.14    71.75    91.01    92.68    91.84      80.91    0.82
 13   18800     53224.15   8281.36       53769.37    122711.80       411.14    86.83    94.81   67.55   68.92   66.23      87.43    79.18    71.79    91.14    92.75    91.94      80.91    0.82
 13   19000     52012.23   8327.55       52774.54    120515.03       385.83    86.83    94.81   67.57   68.92   66.28      87.44    79.20    71.80    91.36    92.84    92.10      80.91    0.82
 13   19200     53614.58   8442.89       53978.30    123859.55       450.73    86.83    94.82   67.55   68.83   66.32      87.44    79.21    71.81    91.33    92.83    92.08      80.91    0.82
 13   19400     52834.82   8251.36       53282.19    122637.54       458.22    86.84    94.82   67.56   68.91   66.27      87.45    79.22    71.82    91.17    92.75    91.95      80.91    0.82
 13   19600     53426.68   8489.44       53534.92    123305.05       441.37    86.84    94.82   67.60   69.03   66.23      87.45    79.22    71.82    91.33    92.83    92.08      80.91    0.82
 13   19800     53833.61   8614.98       54480.35    125124.61       482.34    86.84    94.82   67.60   69.00   66.26      87.45    79.22    71.82    91.14    92.73    91.93      80.91    0.82
 13   20000     53880.98   8494.99       54299.71    124320.44       431.67    86.84    94.82   67.60   68.99   66.26      87.45    79.23    71.83    91.16    92.74    91.94      80.91    0.82
✔ Saved pipeline to output directory
BS-Model\model-last
Press any key to continue . . . 
